@relation compact_wind_offshore

@attribute date numeric
@attribute hour numeric
@attribute dayiness numeric
@attribute mean_TU_0 numeric
@attribute mean_TU_1 numeric
@attribute mean_N_0 numeric
@attribute mean_RR_0 numeric
@attribute mean_RR_1 numeric
@attribute mean_SD_0 numeric
@attribute mean_VV_0 numeric
@attribute mean_FF_0 numeric
@attribute mean_FF_1 numeric
@attribute wind_offshore numeric

@data
20220717,13,0.97,23.16051,35.11465,2.866667,0,0,58.615894,59676.423841,3.212179,223.076923,1658.25
20220717,14,0.87,23.797452,33.968153,2.86,0,0,59.344371,60025.960265,3.282692,224.230769,1805.25
20220717,15,0.71,24.143949,33.082803,3.486667,0,0,59.642384,59514.370861,3.26859,230.961538,1739.25
20220717,16,0.5,24.173248,32.910828,3.98,0,0,59.384106,62507.284768,3.166667,227.948718,1449
20220717,17,0.26,23.828662,33.993631,4.593333,0,0,57.97351,63236.092715,3.032692,224.423077,1439.5
20220717,18,0,22.871975,37.070064,5.166667,0,0,52.099338,63935.033113,2.759615,215.448718,1131.5
20220717,19,-0.26,20.857962,43.318471,5.58,0,0,33.748344,63668.211921,2.275,188.269231,819.25
20220717,20,-0.5,18.526115,51.210191,5.5,0,0,2.238411,59318.940397,1.961538,178.205128,713.5
20220717,21,-0.71,16.902548,56.789809,4.893333,0,0.006494,0,61645.033113,1.775,167.628205,723
20220717,22,-0.87,15.831847,60.834395,5.14,0,0.006494,0,61328.410596,1.7,159.935897,936.25
20220717,23,-0.97,14.938217,64.197452,4.806667,0,0.006494,0,60698.278146,1.674359,178.653846,1041.5
20220718,0,-1,14.264331,66.55414,4.206667,0,0,0,59490.662252,1.707051,171.794872,1086
20220718,1,-0.97,13.707006,68.726115,3.873333,0,0,0,58681.523179,1.657051,180.064103,1269.5
20220718,2,-0.87,13.124204,70.789809,3.28,0,0,0,57784.900662,1.626923,176.730769,1641
20220718,3,-0.71,12.678981,72.541401,3.52,0,0,0,55352.4,1.620513,181.987179,2380
20220718,4,-0.5,12.504459,73.426752,3.32,0,0,1.807947,55477.8,1.641026,177.5,3174.5
20220718,5,-0.26,14.390446,67.535032,3.126667,0,0.012987,38.350993,55532.533333,1.637821,167.435897,3522.5
20220718,6,-0,17.219108,58.089172,3.52,0,0.025974,51.092715,56848.666667,1.635897,160.25641,3479.5
20220718,7,0.26,19.863694,49.585987,4.246667,0,0.025974,50.900662,59000,1.892949,165.512821,3588
20220718,8,0.5,22.108917,42.732484,4.932886,0,0.012987,51.006623,58287.6,2.128205,173.846154,3312
20220718,9,0.71,23.827389,37.738854,4.96,0,0.006494,51.888158,57871.2,2.296795,179.871795,3210.5
20220718,10,0.87,25.229936,34.286624,4.706667,0,0.019481,51.453947,58774.8,2.417949,186.089744,3133
20220718,11,0.97,26.27707,32.057325,5.26,0,0.019481,50.835526,58104.533333,2.554487,187.051282,3171
20220718,12,1,27.17707,30.738854,5.28,0,0.025974,48.888158,57737.152318,2.565385,197.692308,2733.75
20220718,13,0.97,27.944586,29.477707,5.826667,0,0.006494,47.164474,57877.81457,2.59359,209.358974,2293
20220718,14,0.87,28.451592,28.847134,6.353333,0,0,47.848684,59205.695364,2.549359,201.858974,1914.25
20220718,15,0.71,28.779618,28.43949,6.573333,0,0,47.506579,59927.284768,2.471154,211.538462,1556
20220718,16,0.5,28.759236,28.898089,6.686667,0,0,45.718954,60320.463576,2.352564,209.679487,1054.5
20220718,17,0.26,28.463694,30.133758,6.493333,0,0,46.732026,59028.07947,2.215385,205.192308,711
20220718,18,0,27.517197,33.216561,5.946667,0,0,46.581699,58798.145695,1.98141,188.589744,516.5
20220718,19,-0.26,25.294904,39.44586,5.113333,0,0,41.594771,57810.662252,1.697436,164.807692,423.75
20220718,20,-0.5,22.243312,48.401274,4.133333,0,0,4.732026,54559.536424,1.665385,152.051282,446.5
20220718,21,-0.71,20.453503,54.318471,2.553333,0,0,0,54669.205298,1.716026,155.128205,399.25
20220718,22,-0.87,19.288535,58.012739,1.553333,0,0,0,53885.629139,1.720513,159.615385,444.5
20220718,23,-0.97,18.126752,61.732484,1,0,0,0,54828.211921,1.701923,163.525641,451
20220719,0,-1,17.250318,64.573248,0.353333,0,0.006494,0,52473.046358,1.685256,159.551282,507.25
20220719,1,-0.97,16.421019,67.10828,0.226667,0,0,0,52093.377483,1.729487,162.051282,512.75
20220719,2,-0.87,15.733121,69.55414,0.086667,0,0,0,51101.258278,1.692949,154.358974,412.5
20220719,3,-0.71,15.252229,70.789809,0.08,0,0,0,50861.589404,1.746795,159.487179,513.5
20220719,4,-0.5,15.117197,71.547771,0.093333,0,0,2.986842,49459.86755,1.744231,158.012821,595
20220719,5,-0.26,17.243949,65.261146,0.4,0,0,46.894737,49723.774834,1.701282,156.923077,641
20220719,6,-0,20.398726,55.038217,0.673333,0,0,59.644737,51017.682119,1.596795,149.358974,822.5
20220719,7,0.26,23.473248,45.77707,0.693333,0,0,59.934641,52795.364238,1.748077,156.923077,878
20220719,8,0.5,26.028662,39.178344,0.577181,0,0,59.973856,54218.874172,2.107051,154.358974,732.25
20220719,9,0.71,28.109554,33.745223,0.563758,0,0,60,52952.980132,2.448387,152.129032,619.75
20220719,10,0.87,29.614013,29.694268,0.691275,0,0,60,56489.470199,2.827742,157.16129,494.5
20220719,11,0.97,30.797452,26.808917,0.765101,0,0,59.980392,56240.264901,3.134194,161.096774,420
20220719,12,1,31.64359,25.25641,0.763514,0,0,59.980263,56180,3.244516,161.741935,366
20220719,13,0.97,32.304487,24,0.662162,0,0,59.986842,57576.4,3.197403,158.181818,410.5
20220719,14,0.87,32.823077,22.987179,0.682432,0,0,59.967105,55085.333333,3.203247,148.831169,615.75
20220719,15,0.71,32.952564,23.141935,0.662162,0,0,59.728477,56573.333333,3.251299,142.337662,1031.25
20220719,16,0.5,32.80641,23.516129,0.939189,0,0,59.668874,56844.6,3.256494,127.337662,1561.75
20220719,17,0.26,32.226923,24.793548,1.216216,0,0,59.350993,56725.333333,3.315584,113.246753,2303.5
20220719,18,0,30.878846,27.825806,1.100671,0,0,58.86755,56367.666667,3.167532,105.519481,2834.25
20220719,19,-0.26,28.119872,34.135484,1.127517,0,0,47.384106,55061.866667,2.707143,102.532468,3437
20220719,20,-0.5,25.384615,40.774194,1.483221,0,0,2.337748,52239.2,2.581169,103.246753,3857.75
20220719,21,-0.71,23.90641,44.6,1.328859,0,0,0,51761,2.59026,111.298701,3879.25
20220719,22,-0.87,22.708333,47.787097,1.375839,0,0,0,52805,2.631169,113.766234,4071.5
20220719,23,-0.97,21.697436,50.641026,1.342282,0,0.006494,0,53136.6,2.587662,121.493506,4137
20220720,0,-1,20.841667,53.358974,1.530201,0,0,0,52352.466667,2.499351,127.467532,3987
20220720,1,-0.97,20.145513,55.871795,1.463087,0,0,0,52131.866667,2.524675,129.285714,4076.5
20220720,2,-0.87,19.487179,57.897436,1.369128,0,0,0,51684.066667,2.461039,137.922078,3902.75
20220720,3,-0.71,18.990385,59.955128,1.825503,0,0,0,51203.333333,2.416883,143.831169,3903.5
20220720,4,-0.5,18.694872,61.647436,1.758389,0,0,0.092715,50287.133333,2.404545,141.103896,3826.5
20220720,5,-0.26,20.242949,57.852564,1.765101,0,0,39.993333,49913,2.314839,138.451613,3654.25
20220720,6,-0,23.038462,49.884615,2.187919,0,0,58.854305,49120.133333,2.316129,144.129032,3710.5
20220720,7,0.26,25.649359,43.532051,2.060403,0,0,59.476821,47463.4,2.651613,153.290323,3770.5
20220720,8,0.5,27.977707,39.178344,2.161074,0,0.006494,59.099338,49166.291391,3.007097,162.884615,4108.25
20220720,9,0.71,29.782166,35.726115,2.436242,0.001948,0.006494,58.741722,47135.496689,3.283974,167.884615,3224.5
20220720,10,0.87,31.270064,32.961783,2.369128,0.002597,0.012987,59,46298.145695,3.496795,177.324841,3841.5
20220720,11,0.97,32.270701,30.801282,2.61745,0.001299,0.012987,58.529801,47848.940397,3.650318,188.152866,4771.5
20220720,12,1,33.059873,29.166667,2.483221,0.002597,0.019481,57.662252,48000.13245,3.80828,193.312102,4934
20220720,13,0.97,33.207692,29.419355,2.574324,0.000649,0.025974,57.5,45350.933333,3.919872,199.363057,3895.5
20220720,14,0.87,33.085256,30.167742,2.673469,0.001961,0.052288,54.933333,45501.733333,3.869872,197.75641,3111.25
20220720,15,0.71,32.921154,30.890323,3.619048,0.001961,0.052288,50.006667,45829.6,3.879487,196.025641,2845.25
20220720,16,0.5,32.376282,32.329032,4.175676,0.026797,0.039216,48.586667,45063.466667,3.792949,205.384615,3407.25
20220720,17,0.26,31.150318,35.967949,4.469799,0.015686,0.091503,44.213333,43843.708609,3.873248,204.968153,4053.75
20220720,18,0,29.268153,42.435897,4.456376,0.260131,0.143791,38.225166,42074.304636,3.884713,202.484076,3802.25
20220720,19,-0.26,26.771975,49.267516,4.691275,0.243791,0.202614,24.516556,40395.496689,3.710191,196.815287,3449
20220720,20,-0.5,24.629936,57.305732,4.671141,0.701961,0.267974,0.390728,37431.324503,3.508917,204.77707,3549.75
